ReligiousOrganisation Organisation
SambaSchool Organisation
TermOfOffice Organisation
PoliticalFunction PersonFunction
Profession PersonFunction
FloweringPlant Plant
Gnetophytes Plant
Conifer Plant
GreenAlga Plant
ClubMoss Plant
Moss Plant
Cycad Plant
Fern Plant
CultivatedVariety Plant
Ginkgo Plant
Ambassador Politician
Congressman Politician
Governor Politician
Mayor Politician
MemberOfParliament Politician
President Politician
PrimeMinister Politician
Senator Politician
Chancellor Politician
Chief Politician
Deputy Politician
Lieutenant Politician
Minister Politician
VicePresident Politician
VicePrimeMinister Politician
NuclearPowerStation PowerStation
NascarDriver RacingDriver
FormulaOneRacer RacingDriver
DTMRacer RacingDriver
RallyDriver RacingDriver
JewishLeader Religious
LatterDaySaint Religious
Rebbe Religious
Pretender Royalty
Pharaoh Royalty
BritishRoyalty Royalty
City Settlement
CityDistrict Settlement
Town Settlement
Village Settlement
HistoricalSettlement Settlement
NationalSoccerClub SoccerClub
EurovisionSongContestEntry Song
Race SportsEvent
Tournament SportsEvent
NationalFootballLeagueEvent SportsEvent
FootballMatch SportsEvent
GrandPrix SportsEvent
Olympics SportsEvent
WrestlingEvent SportsEvent
MixedMartialArtsEvent SportsEvent
CyclingCompetition SportsEvent
InternationalFootballLeagueEvent SportsEvent
InlineHockeyLeague SportsLeague
BowlingLeague SportsLeague
AustralianFootballLeague SportsLeague
AutoRacingLeague SportsLeague
BaseballLeague SportsLeague
MixedMartialArtsLeague SportsLeague
MotorcycleRacingLeague SportsLeague
PoloLeague SportsLeague
VolleyballLeague SportsLeague
CanadianFootballLeague SportsLeague
CricketLeague SportsLeague
GolfLeague SportsLeague
LacrosseLeague SportsLeague
SpeedwayLeague SportsLeague
VideogamesLeague SportsLeague
BoxingLeague SportsLeague
AmericanFootballLeague SportsLeague
SoftballLeague SportsLeague
TennisLeague SportsLeague
RugbyLeague SportsLeague
SoccerLeague SportsLeague
BasketballLeague SportsLeague
HandballLeague SportsLeague
IceHockeyLeague SportsLeague
FieldHockeyLeague SportsLeague
CurlingLeague SportsLeague
CyclingLeague SportsLeague
FormulaOneRacing SportsLeague
PaintballLeague SportsLeague
RadioControlledRacingLeague SportsLeague
SportsTeamSeason SportsSeason
MotorsportSeason SportsSeason
BrownDwarf Star
RailwayStation Station
MetroStation Station
RouteStop Station
TramStation Station
Cinema Venue
Stadium Venue
Theatre Venue
Historian Writer
Poet Writer
ScreenWriter Writer
MusicComposer Writer
PlayWright Writer
SongWriter Writer
PeriodicalLiterature WrittenWork
Poem WrittenWork
Book WrittenWork
Comic WrittenWork
Play WrittenWork
Annotation WrittenWork
Article WrittenWork
Drama WrittenWork
Law WrittenWork
Letter WrittenWork
MultiVolumePublication WrittenWork
Quote WrittenWork
Resume WrittenWork
StatedResolution WrittenWork
Treaty WrittenWork
HistoricalCountry Country
MythologicalFigure FictionalCharacter
SoapCharacter FictionalCharacter
ComicsCharacter FictionalCharacter
DisneyCharacter FictionalCharacter
NarutoCharacter FictionalCharacter
Church ReligiousBuilding
Monastery ReligiousBuilding
Mosque ReligiousBuilding
Shrine ReligiousBuilding
Synagogue ReligiousBuilding
Temple ReligiousBuilding
LightNovel Novel
Baronet BritishRoyalty
Guitarist Instrumentalist
Novel book
Reference Annotation
DigitalCamera Camera
Archive CollectionOfValuables
Contest Competition
HistoricalDistrict District
NobleFamily Family
HumanGeneLocation GeneLocation
MouseGeneLocation GeneLocation
Manor HistoricalAreaOfAuthority
ElectricalSubstation Infrastucture
Guitar Instrument
Organ Instrument
PersonalEvent LifeCycleEvent
SingleList List
TrackList List
WorkSequence List
Treadmill Mill
Watermill Mill
WindMotor Mill
Windmill Mill
CoalPit Mine
SerialKiller Murderer
ConveyorSystem On-SiteTransportation
Escalator On-SiteTransportation
MovingWalkway On-SiteTransportation
HistoricalProvince Province
ClericalOrder ReligiousOrganisation
ArtificialSatellite Satellite
Globularswarm Swarm
Openswarm Swarm
OldTerritory Territory
ChristianDoctrine TheologicalConcept
WikimediaTemplate Unknown
ControlledDesignationOfOriginWine Wine
